1,湯本地域,山崎,山崎公園前,神奈川県足柄下郡箱根町湯本,35.235114,139.115824,"http://maps.google.co.jp/maps?daddr=35.235114,139.115824"
2,湯本地域,山崎,箱根医院前,神奈川県足柄下郡箱根町湯本81,35.236726,139.117391,"http://maps.google.co.jp/maps?daddr=35.236726,139.117391"
3,湯本地域,神明町,湯本地域スポーツ施設運動場,神奈川県足柄下郡箱根町湯本,35.234539,139.11153,"http://maps.google.co.jp/maps?daddr=35.234539,139.11153"
4,湯本地域,神明町,神明町公園,神奈川県足柄下郡箱根町湯本196,35.232775,139.111686,"http://maps.google.co.jp/maps?daddr=35.232775,139.111686"
5,湯本地域,神明町,湯本幼児学園園庭,神奈川県足柄下郡箱根町湯本392,35.230328,139.105549,"http://maps.google.co.jp/maps?daddr=35.230328,139.105549"
6,湯本地域,神明町,小川福則氏駐車場,神奈川県足柄下郡箱根町湯本211-1,35.232958,139.109505,"http://maps.google.co.jp/maps?daddr=35.232958,139.109505"
7,湯本地域,神明町,湯本富士屋ホテル庭,神奈川県足柄下郡箱根町湯本256-1,35.232538,139.104976,"http://maps.google.co.jp/maps?daddr=35.232538,139.104976"
8,湯本地域,神明町,コーポ和幸駐車場,神奈川県足柄下郡箱根町湯本182,35.233093,139.113438,"http://maps.google.co.jp/maps?daddr=35.233093,139.113438"
9,湯本地域,神明町,菊川儀長氏駐車場,神奈川県足柄下郡箱根町湯本,35.232684,139.108503,"http://maps.google.co.jp/maps?daddr=35.232684,139.108503"
10,湯本地域,旭町,観光物産館前,神奈川県足柄下郡箱根町湯本703-19,35.232071,139.102069,"http://maps.google.co.jp/maps?daddr=35.232071,139.102069"
11,湯本地域,湯場,吉池旅館玄関前,神奈川県足柄下郡箱根町湯本597,35.23071,139.100028,"http://maps.google.co.jp/maps?daddr=35.23071,139.100028"
12,湯本地域,仲町,金湯苑前,神奈川県足柄下郡箱根町湯本,35.228654,139.099713,"http://maps.google.co.jp/maps?daddr=35.228654,139.099713"
15,湯本地域,仲町,早雲公園駐車場,神奈川県足柄下郡箱根町湯本字仲町410,35.229801,139.104131,"http://maps.google.co.jp/maps?daddr=35.229801,139.104131"
16,湯本地域,仲町,湯本小学校校庭,神奈川県足柄下郡箱根町湯本399-2,35.230514,139.104813,"http://maps.google.co.jp/maps?daddr=35.230514,139.104813"
17,湯本地域,滝通り,箱根路開雲駐車場,神奈川県足柄下郡箱根町湯本521-3,35.229237,139.09846,"http://maps.google.co.jp/maps?daddr=35.229237,139.09846"
18,湯本地域,滝通り,箱根パークス吉野駐車場,神奈川県足柄下郡箱根町湯本茶屋139-5,35.229089,139.096066,"http://maps.google.co.jp/maps?daddr=35.229089,139.096066"
19,湯本地域,滝通り,天成園駐車場,神奈川県足柄下郡箱根町湯本茶屋129,35.228942,139.095598,"http://maps.google.co.jp/maps?daddr=35.228942,139.095598"
20,湯本地域,滝通り,ホテル南風荘駐車場,神奈川県足柄下郡箱根町湯本茶屋179,35.225465,139.091297,"http://maps.google.co.jp/maps?daddr=35.225465,139.091297"
21,湯本地域,滝通り,ホテルおかだ駐車場,神奈川県足柄下郡箱根町湯本茶屋191,35.226101,139.092328,"http://maps.google.co.jp/maps?daddr=35.226101,139.092328"
22,湯本地域,湯本茶屋,静観荘駐車場,神奈川県足柄下郡箱根町湯本茶屋19,35.228246,139.096321,"http://maps.google.co.jp/maps?daddr=35.228246,139.096321"
23,湯本地域,湯本茶屋,さるさわ駐車場,神奈川県足柄下郡箱根町湯本茶屋86-2,35.2255807,139.0961665,"http://maps.google.co.jp/maps?daddr=35.2255807,139.0961665"
24,湯本地域,湯本茶屋,あまゆ荘前,神奈川県足柄下郡箱根町湯本茶屋36,35.228183,139.097538,"http://maps.google.co.jp/maps?daddr=35.228183,139.097538"
